2026-02-07 21:18:44 | INFO     | __main__             | ======================================================================
2026-02-07 21:18:44 | INFO     | __main__             | KONKANI VOICE AGENT v2.0 - ENHANCED
2026-02-07 21:18:44 | INFO     | __main__             | ======================================================================
2026-02-07 21:18:44 | INFO     | __main__             | Features: Barge-in, GPU monitoring, Latency optimization, Error recovery
2026-02-07 21:18:44 | INFO     | __main__             | 
2026-02-07 21:18:44 | INFO     | __main__             | ✓ STT service connected: {'device': 'cuda', 'language': 'kok', 'model_loaded': True, 'status': 'healthy'}
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.gpu_monitor | GPUMemoryMonitor initialized (device: cuda:0)
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.gpu_monitor | GPUMemoryOptimizer initialized
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.gpu_monitor | GPU memory monitoring started
2026-02-07 21:18:44 | INFO     | __main__             | ✓ GPU monitoring started
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.error_handler | ErrorHandler initialized
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.error_handler |   Max retries: 3
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.error_handler |   Base delay: 1.0s
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.latency_optimizer | LatencyOptimizer initialized
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.latency_optimizer |   Target: 1000ms
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.latency_optimizer |   Streaming: True
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.dashboard | Dashboard initialized on port 8080
2026-02-07 21:18:44 | INFO     | konkani_agent.utils.dashboard | ✓ Dashboard running at http://0.0.0.0:8080
2026-02-07 21:18:44 | INFO     | __main__             | ✓ Dashboard running at http://localhost:8080
2026-02-07 21:18:44 | INFO     | __main__             | Building enhanced pipeline...
2026-02-07 21:18:44 | INFO     | konkani_agent.processors.silero_vad | SileroVADProcessor initialized
2026-02-07 21:18:44 | INFO     | konkani_agent.processors.silero_vad |   Threshold: 0.5
